created_at,vendor_name,brand_name,title,sku,handle,inventory_quantity,original_price,discounted_price,category_names,image_links,main_category
27:15.5,Consumer Express Laptops,Hitachi,WD - My Passport 4TB External USB 3.0 Portable Hard Drive - Black (Installment),WD-4TB-CE,wd-my-passport-4tb-external-usb-30-portable-hard-drive-black-installment,100,38999,38999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/wd-4tb-ce_120525153154460379.jpg,Accessories
27:14.9,Consumer Express Laptops,Hitachi,WD - My Passport 2TB External USB 3.0 Portable Hard Drive - Black (Installment),WD-2TB-CE,wd-my-passport-2tb-external-usb-30-portable-hard-drive-black-installment,100,26999,26999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/wd-2tb-ce_120525153238285019.jpg,Accessories
27:14.2,Consumer Express Laptops,Sony,Sony Wireless Over The Ear Noise Canceling Headphones WH-CH720N (Installment),SY-CH720N-CE,sony-wireless-over-the-ear-noise-canceling-headphones-wh-ch720n-installment,100,26899,26899,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/sy-ch720n-ce_120525160300604892.jpg,Mobile Phones & Tablets
27:13.5,Consumer Express Laptops,Hitachi,Seagate One Touch With Password 1TB External Portable Hard Drive (Installment),SG-PHD1TB-CE,seagate-one-touch-with-password-1tb-external-portable-hard-drive-installment,100,26999,26999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/s-phd1tb-ce_120525155200482710.jpg,Accessories
27:12.8,Consumer Express Laptops,Hitachi,Seagate One Touch Hub 10TB Desktop External Drive with Built-In Hub (Black) - (Installment),S-PHD10TB-CE,seagate-one-touch-hub-10tb-desktop-external-drive-with-built-in-hub-black-installment,100,101999,101999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/7-czonecompk-1540-14834-220623084456_120525155252898686.jpg,Accessories
27:11.9,Consumer Express Laptops,Hitachi,Seagate One Touch 5TB External Hard Drive (Installment),SG-PHD5TB-CE,seagate-one-touch-5tb-external-hard-drive-installment,100,44999,44999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/s-phd5tb-ce_120525155354158075.jpg,Accessories
27:10.9,Consumer Express Laptops,Hitachi,Seagate One Touch 2TB External Portable Hard Drive (Installment),SG-PHD2TB-CE,seagate-one-touch-2tb-external-portable-hard-drive-installment,100,34999,34999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/s-phd2tb-ce_120525155419196101.jpg,Accessories
27:10.2,Consumer Express Laptops,Hitachi,Seagate Expansion Portable 1TB External Hard Drive USB 3.0 For Mac and PC (Installment),SG-EP1TB-CE,seagate-expansion-portable-1tb-external-hard-drive-usb-30-for-mac-and-pc-installment,100,31999,31999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/s-ep1tb-ce_120525155444813775.jpg,Accessories
27:09.5,Consumer Express Laptops,Hitachi,Seagate Expansion 4TB Portable USB 3.0 External Hard Drive (Installment),SG-PHD4TB-CE,seagate-expansion-4tb-portable-usb-30-external-hard-drive-installment-1,100,38999,38999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/11-czonecompk-1540-12537-061222080843_120525155625499346.jpg,Accessories
27:08.9,Consumer Express Laptops,Hitachi,"Seagate Expansion 2TB Portable External USB 3.0 HDD, Portable Hard Drive (Installment)",SG-EP2TB-CE,seagate-expansion-2tb-portable-external-usb-30-hdd-portable-hard-drive-installment,100,26999,26999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/s-ep2tb-ce_120525155530535413.jpg,Accessories
